Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 16:35:33.290,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:34.289,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:35.288,0.117187,0.273437,0.371094,0.126953,0.463867,1.264648,2
17/11/2017 16:35:36.291,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:37.291,0.117187,0.273437,0.371094,0.126953,0.463867,1.264648,2
17/11/2017 16:35:38.290,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:39.289,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:40.289,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:35:41.292,0.117187,0.273437,0.371094,0.126953,0.463867,1.264648,2
17/11/2017 16:35:42.291,0.117187,0.273437,0.371094,0.126953,0.463867,1.264648,2
17/11/2017 16:35:43.295,0.117187,0.273437,0.371094,0.12207,0.463867,1.264648,2
17/11/2017 16:35:44.295,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:45.294,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:46.292,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:47.292,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:48.297,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:49.295,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:50.296,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:35:51.299,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:35:52.297,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
